GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
521,499.89,1216.33,1552.52,131.66,70.8,-63.39,-1008.26,-8943.54,516.02,7709.94,-7174.96,70.86,1681.97,-7104.1,-5422.13
531,535.69,1223.63,1559.94,144.26,78.95,-69.76,-1005.96,-8977.42,511.54,7757.37,-7193.29,70.37,1758.24,-7122.92,-5364.68
541,530.12,1209.71,1534.43,138.41,78.78,-60.81,-1022.15,-8971.59,518.31,7722.03,-7159.09,70.43,1677.24,-7088.65,-5411.42
551,518.7,1179.38,1557.85,134.01,78.79,-70.35,-992.81,-9031.43,511.9,7717.45,-7093.66,70.82,1603.5,-7022.84,-5419.34
561,511.6,1183.21,1557.62,132.25,71.9,-60.01,-978.48,-9179.12,502.18,7726.9,-6990.25,70.77,1468.05,-6919.48,-5451.43
571,507.63,1201.12,1566.11,139.44,74.33,-66.52,-1006.28,-9248.63,500.05,7729.75,-6915.16,69.66,1396.99,-6845.5,-5448.52
581,492.76,1171.82,1538.64,140.07,70.16,-70.95,-1026.5,-9053.22,520.58,7791.5,-7116.33,71.6,1574.87,-7044.72,-5469.85
591,549.31,1207.55,1559.01,138.71,81.37,-82.03,-1011.69,-9262.05,522.1,7753.99,-6895.23,70.17,1456.28,-6825.07,-5368.79
601,525.19,1168.53,1560.1,137.68,77.51,-57.37,-969.05,-9140.1,526.94,7759.66,-7071.36,71.42,1589.08,-6999.94,-5410.86
611,526.13,1220.16,1552.6,143.49,85.63,-62.13,-1016.2,-9354.53,507.18,7779.81,-6831.86,70.7,1382.14,-6761.16,-5379.02
621,531.65,1200.57,1564.52,133.88,79.27,-73.53,-1006.34,-9221.78,502.85,7724.42,-6934.36,70.29,1435.5,-6864.07,-5428.56
631,494.49,1186.4,1528.87,129.47,63.88,-72.3,-991.65,-9329.05,506.99,7780.03,-6880.1,70.57,1297.13,-6809.53,-5512.4
641,554.37,1225.44,1554.43,135.1,85.54,-72.03,-1019.08,-9297.39,487.51,7703.15,-6852.5,70.0,1357.05,-6782.5,-5425.46
651,508.29,1211.74,1557.29,133.96,72.79,-78.31,-994.92,-9023.38,534.15,7743.7,-7137.56,70.31,1665.3,-7067.24,-5401.94
661,505.35,1195.38,1536.29,133.24,82.82,-69.79,-1002.09,-9072.46,509.4,7713.96,-7087.07,69.63,1532.11,-7017.44,-5485.33
671,491.4,1190.04,1545.76,140.83,81.61,-56.7,-1007.36,-9253.46,512.6,7794.07,-6949.8,70.18,1438.8,-6879.62,-5440.82
681,522.49,1123.45,1537.79,132.1,87.54,-63.99,-1020.0,-9117.51,503.44,7759.17,-7054.97,70.08,1464.49,-6984.89,-5520.4
691,513.37,1214.58,1567.07,139.24,68.69,-69.81,-1016.63,-9416.2,503.47,7750.21,-6738.48,70.97,1253.99,-6667.51,-5413.52
701,518.41,1123.47,1548.31,133.21,85.22,-66.51,-1004.43,-9122.44,536.64,7816.15,-7104.51,71.59,1568.02,-7032.92,-5464.89
711,550.3,1141.28,1536.8,134.08,84.1,-71.23,-1005.98,-9101.48,510.22,7765.5,-7077.35,71.34,1543.6,-7006.01,-5462.4
721,515.1,1174.17,1564.08,138.86,74.63,-76.04,-1014.9,-9003.92,515.6,7829.74,-7205.62,68.76,1717.32,-7136.86,-5419.54
731,487.23,1212.2,1551.15,138.16,81.28,-67.77,-1009.02,-9258.87,501.7,7768.37,-6933.07,69.08,1404.42,-6863.99,-5459.57
741,521.11,1138.59,1553.0,137.86,79.32,-62.25,-991.25,-9050.01,511.79,7720.23,-7085.21,71.45,1558.4,-7013.75,-5455.35
751,493.22,1221.26,1567.78,141.0,73.41,-82.87,-998.91,-8969.42,497.73,7726.49,-7173.84,71.83,1669.69,-7102.0,-5432.31
761,514.44,1191.11,1562.5,137.92,74.59,-67.25,-1011.75,-9021.85,523.4,7761.75,-7153.59,70.71,1664.88,-7082.88,-5418.0
771,518.38,1200.74,1556.56,134.83,70.59,-75.58,-1013.01,-9127.48,498.22,7799.09,-7079.19,71.57,1562.35,-7007.62,-5445.28
781,505.71,1184.38,1544.77,134.42,79.6,-63.55,-1004.35,-9368.3,498.22,7754.88,-6787.33,71.45,1265.78,-6715.88,-5450.1
791,509.07,1183.32,1554.06,142.13,72.31,-60.87,-983.68,-9035.77,508.06,7762.73,-7148.82,72.49,1651.38,-7076.33,-5424.96
801,534.25,1180.77,1524.83,133.87,88.63,-64.57,-1017.56,-9092.39,506.0,7764.81,-7090.31,69.71,1558.66,-7020.6,-5461.94
811,506.94,1186.03,1544.13,133.55,90.91,-77.23,-990.03,-9100.6,518.73,7772.39,-7111.19,69.56,1584.82,-7041.63,-5456.81
821,537.69,1151.64,1546.45,127.58,71.26,-71.34,-1010.22,-9161.06,496.37,7768.48,-7031.5,70.46,1456.86,-6961.04,-5504.18
831,513.92,1180.91,1539.96,129.86,66.88,-58.51,-1009.69,-9038.44,502.71,7720.15,-7108.2,70.66,1547.76,-7037.54,-5489.78
841,529.67,1227.08,1544.68,139.6,78.82,-57.68,-1025.6,-9126.66,501.26,7771.67,-7054.75,69.7,1582.86,-6985.05,-5402.18
851,518.95,1192.07,1531.69,148.15,78.42,-62.12,-1008.93,-9221.67,514.79,7780.48,-6969.26,69.99,1471.82,-6899.28,-5427.46
861,522.88,1213.69,1551.8,136.37,82.82,-53.59,-990.35,-9212.41,511.3,7745.3,-6959.48,68.73,1507.8,-6890.75,-5382.94
871,500.62,1196.41,1545.8,130.99,91.55,-71.87,-997.12,-9133.33,511.36,7774.06,-7062.86,69.44,1548.45,-6993.41,-5444.96
881,544.96,1220.18,1557.74,136.08,72.05,-57.92,-1007.99,-8989.75,507.32,7717.92,-7156.51,70.39,1700.58,-7086.13,-5385.54
891,498.13,1179.69,1546.06,132.35,74.08,-63.45,-1004.8,-9182.54,501.95,7736.84,-6958.02,68.59,1418.32,-6889.43,-5471.11
