GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
941,571.12,1312.2,1740.79,153.51,79.14,-59.38,-1117.16,-10131.69,557.23,8606.58,-2238.29,77.69,1712.34,-2160.6,-448.25
951,551.94,1350.13,1710.7,161.26,77.37,-41.68,-1145.54,-10153.18,557.69,8659.14,-2241.56,77.37,1727.84,-2164.19,-436.35
961,526.6,1333.92,1739.33,141.91,84.95,-63.2,-1133.19,-10168.52,560.16,8665.41,-2216.11,77.63,1687.37,-2138.48,-451.11
971,566.36,1339.09,1743.95,156.29,93.39,-64.13,-1132.79,-10106.44,561.71,8568.91,-2224.27,77.66,1726.33,-2146.61,-420.28
981,556.56,1301.5,1739.91,146.78,86.37,-58.61,-1150.8,-10098.98,542.25,8607.49,-2268.91,77.63,1672.46,-2191.28,-518.82
991,539.32,1290.03,1726.52,149.11,86.64,-57.66,-1140.85,-10058.09,557.1,8581.28,-2263.71,76.87,1673.4,-2186.84,-513.44
1001,535.13,1320.55,1724.59,154.7,76.44,-52.59,-1137.95,-10101.53,561.56,8621.51,-2256.85,76.21,1702.4,-2180.64,-478.24
1011,573.65,1358.17,1722.52,153.69,83.61,-58.82,-1120.31,-10161.04,545.08,8607.2,-2198.86,77.68,1703.75,-2121.18,-417.43
1021,516.49,1345.2,1725.31,158.66,85.52,-59.54,-1105.26,-10091.09,576.15,8606.12,-2278.92,78.09,1757.55,-2200.83,-443.28
1031,529.22,1336.5,1747.4,158.82,85.38,-70.9,-1167.09,-10039.47,573.91,8602.58,-2274.31,76.05,1756.36,-2198.27,-441.91
1041,562.59,1315.14,1709.98,150.76,82.13,-49.66,-1121.05,-10100.55,570.49,8561.37,-2259.64,78.76,1681.21,-2180.88,-499.67
1051,553.29,1351.88,1722.43,153.03,89.08,-66.3,-1152.68,-10084.92,554.85,8602.38,-2241.59,76.96,1723.04,-2164.62,-441.58
1061,578.8,1305.91,1740.64,160.2,86.74,-58.84,-1150.86,-10048.77,538.55,8598.39,-2263.42,76.4,1750.76,-2187.02,-436.26
1071,574.01,1300.02,1728.09,146.96,88.69,-51.66,-1131.64,-10071.68,545.25,8587.17,-2265.65,77.56,1715.22,-2188.09,-472.87
1081,566.18,1322.26,1719.14,153.05,85.85,-65.15,-1140.82,-10083.59,547.23,8560.62,-2225.0,77.67,1664.77,-2147.34,-482.56
1091,566.12,1307.57,1728.26,156.16,81.08,-60.24,-1136.65,-10147.51,547.87,8662.87,-2252.57,77.29,1705.54,-2175.28,-469.74
1101,557.07,1332.67,1720.42,150.78,92.27,-84.36,-1159.49,-10147.83,561.25,8673.66,-2231.28,78.6,1696.43,-2152.68,-456.25
1111,512.53,1312.89,1722.58,146.21,91.54,-53.4,-1139.05,-10197.64,560.0,8649.86,-2171.96,77.02,1605.52,-2094.94,-489.42
1121,564.91,1337.87,1742.7,168.6,90.68,-53.31,-1154.09,-10060.82,558.89,8576.63,-2248.18,76.56,1772.04,-2171.62,-399.58
1131,554.85,1267.75,1744.66,149.13,94.02,-64.3,-1111.51,-10150.87,570.57,8645.56,-2219.84,78.34,1699.86,-2141.5,-441.63
1141,566.61,1355.51,1722.59,156.72,92.0,-56.42,-1137.26,-10157.94,551.92,8661.79,-2244.86,77.43,1755.53,-2167.43,-411.9
1151,587.56,1323.24,1740.9,148.57,95.18,-62.98,-1146.3,-10112.42,537.05,8587.41,-2208.01,76.84,1698.21,-2131.17,-432.96
1161,546.49,1292.67,1746.05,148.3,85.01,-54.11,-1129.82,-10143.28,575.1,8641.4,-2231.63,77.9,1707.81,-2153.73,-445.92
1171,556.3,1332.66,1708.54,150.08,83.52,-65.5,-1117.11,-10116.33,554.54,8602.13,-2241.45,79.23,1688.83,-2162.23,-473.4
1181,548.21,1336.13,1719.12,148.33,85.51,-67.42,-1124.17,-10061.15,554.3,8604.65,-2266.43,78.42,1743.5,-2188.01,-444.51
1191,602.63,1320.6,1716.41,152.8,85.39,-55.48,-1128.12,-10114.55,546.94,8629.55,-2247.72,77.49,1756.18,-2170.23,-414.05
1201,594.37,1280.16,1740.06,158.94,78.02,-53.92,-1107.92,-10074.09,554.83,8602.12,-2273.05,77.83,1772.57,-2195.22,-422.65
1211,533.4,1343.76,1710.21,153.8,88.77,-47.28,-1135.79,-10166.3,574.75,8670.03,-2245.56,77.54,1725.36,-2168.02,-442.67
1221,553.66,1311.22,1723.05,153.61,97.66,-58.19,-1137.16,-10081.82,571.19,8640.53,-2281.2,78.21,1773.76,-2202.99,-429.23
1231,561.53,1336.69,1729.85,149.14,94.89,-56.43,-1132.56,-10119.73,559.88,8666.93,-2265.95,78.31,1790.2,-2187.64,-397.44
1241,533.99,1347.14,1731.19,151.73,75.45,-48.3,-1105.24,-10115.71,554.48,8602.76,-2239.26,78.69,1727.49,-2160.56,-433.07
1251,563.81,1288.47,1718.18,156.49,87.01,-70.87,-1147.12,-10028.43,560.82,8581.08,-2273.21,78.16,1709.44,-2195.04,-485.6
1261,531.44,1282.68,1728.75,155.7,95.69,-62.81,-1106.23,-10039.86,576.71,8595.89,-2306.84,79.9,1757.96,-2226.94,-468.98
1271,568.69,1323.66,1714.32,153.72,86.75,-61.96,-1120.72,-10033.51,526.8,8607.21,-2307.73,79.72,1764.96,-2228.01,-463.05
1281,552.65,1345.89,1723.67,149.4,83.57,-67.59,-1128.86,-10024.98,552.69,8563.76,-2274.68,78.59,1750.2,-2196.09,-445.88
1291,585.22,1322.73,1746.17,152.16,104.7,-60.92,-1149.34,-10068.77,540.58,8601.58,-2260.89,79.21,1774.11,-2181.67,-407.56
1301,547.12,1321.5,1714.77,158.61,78.51,-69.15,-1135.24,-10021.69,555.96,8601.17,-2317.25,78.08,1751.55,-2239.17,-487.61
1311,552.71,1309.93,1730.56,151.09,90.88,-63.38,-1108.09,-10040.04,547.23,8607.12,-2285.16,77.73,1778.01,-2207.44,-429.43
1321,560.68,1305.49,1736.44,155.48,98.93,-57.79,-1127.87,-10032.25,546.19,8608.89,-2296.4,78.06,1794.19,-2218.34,-424.15
1331,555.61,1369.34,1751.68,139.78,104.55,-73.37,-1122.42,-10054.65,544.06,8600.49,-2288.3,80.27,1815.06,-2208.03,-392.97
1341,540.36,1300.3,1730.92,142.87,82.64,-54.2,-1136.45,-10072.7,564.47,8649.41,-2288.47,78.78,1747.62,-2209.68,-462.07
1351,579.86,1297.54,1716.22,156.71,82.34,-69.4,-1137.15,-10084.26,549.44,8619.97,-2251.99,78.4,1711.27,-2173.59,-462.32
1361,583.81,1320.16,1738.44,146.03,81.83,-61.34,-1130.6,-10074.17,548.82,8561.68,-2261.39,79.16,1714.66,-2182.23,-467.57
1371,541.82,1328.77,1715.8,164.21,84.74,-54.59,-1121.59,-10142.67,561.74,8620.14,-2248.3,78.46,1698.36,-2169.84,-471.48
1381,570.12,1307.53,1748.8,155.45,86.6,-58.14,-1119.53,-10076.03,554.91,8581.93,-2251.68,78.81,1751.64,-2172.87,-421.23
1391,551.92,1374.85,1732.38,156.04,81.9,-69.62,-1139.53,-10022.85,558.75,8612.84,-2352.96,77.71,1836.69,-2275.25,-438.57
1401,576.0,1341.84,1758.91,155.0,84.27,-63.48,-1132.37,-10077.75,548.68,8589.38,-2281.66,78.28,1780.48,-2203.38,-422.9
1411,531.05,1327.91,1740.41,148.01,88.45,-55.68,-1157.42,-10051.0,560.14,8662.57,-2328.57,77.95,1794.43,-2250.62,-456.19
1421,560.11,1309.39,1746.11,143.28,81.94,-63.52,-1137.83,-10111.48,564.73,8646.32,-2262.77,78.22,1739.07,-2184.55,-445.47
1431,545.83,1361.19,1733.3,161.25,86.23,-56.09,-1125.2,-10130.13,554.29,8646.37,-2243.98,77.62,1777.04,-2166.36,-389.32
1441,561.56,1352.98,1727.12,158.84,84.5,-70.9,-1108.49,-10114.71,550.68,8617.69,-2249.33,80.1,1759.27,-2169.23,-409.96
1451,591.39,1318.95,1728.37,145.58,95.07,-71.36,-1102.96,-10112.57,553.4,8629.76,-2271.7,79.2,1775.64,-2192.5,-416.86
1461,575.71,1350.99,1723.48,161.17,82.6,-57.76,-1139.07,-10139.49,536.59,8640.78,-2245.44,78.94,1734.99,-2166.49,-431.5
1471,557.44,1340.85,1718.82,150.61,89.45,-52.97,-1129.23,-10062.14,544.12,8580.65,-2262.8,78.86,1737.6,-2183.94,-446.34
1481,577.34,1334.41,1708.35,152.78,75.95,-51.35,-1125.04,-10170.1,541.48,8634.11,-2212.26,78.51,1677.92,-2133.75,-455.83
1491,528.33,1347.75,1746.78,158.72,90.84,-54.55,-1103.31,-10200.2,545.32,8685.34,-2221.51,78.71,1745.02,-2142.8,-397.78
1501,597.26,1326.07,1715.86,147.11,88.59,-65.44,-1140.77,-10076.53,543.89,8582.42,-2264.88,78.22,1718.46,-2186.66,-468.2
1511,548.57,1320.18,1738.03,147.58,87.27,-59.35,-1139.3,-10132.08,559.68,8630.6,-2235.07,78.57,1701.19,-2156.5,-455.32
1521,561.13,1305.68,1736.56,155.58,88.84,-62.95,-1096.3,-10179.72,573.51,8628.01,-2209.25,78.21,1710.33,-2131.04,-420.71
1531,585.9,1302.91,1727.88,148.24,86.27,-60.93,-1137.0,-10058.23,569.12,8649.93,-2307.18,79.51,1814.1,-2227.67,-413.57
1541,575.93,1330.17,1703.16,150.99,83.72,-51.78,-1120.02,-10155.48,550.18,8688.37,-2244.38,78.91,1755.25,-2165.47,-410.23
1551,563.75,1326.86,1746.33,157.35,82.72,-67.19,-1111.86,-10130.06,574.11,8676.63,-2267.28,78.13,1818.63,-2189.16,-370.53
1561,536.08,1311.07,1733.05,151.4,90.95,-67.11,-1099.31,-10119.33,555.39,8630.41,-2263.83,79.43,1722.61,-2184.4,-461.79
1571,549.69,1325.35,1700.78,154.82,91.35,-44.44,-1110.11,-10128.61,565.99,8700.98,-2294.15,80.9,1805.8,-2213.25,-407.45
1581,557.43,1283.76,1710.27,149.74,93.28,-53.33,-1128.68,-10139.07,566.92,8678.84,-2263.03,77.77,1719.15,-2185.26,-466.11
1591,557.21,1316.39,1704.82,156.87,83.46,-63.17,-1139.71,-10094.85,555.65,8630.2,-2266.11,77.38,1706.87,-2188.73,-481.87
1601,544.36,1332.12,1732.82,144.44,79.49,-55.86,-1122.52,-10136.51,546.81,8673.57,-2256.01,78.69,1738.72,-2177.32,-438.6
1611,582.05,1317.22,1706.81,152.26,79.15,-48.61,-1126.39,-10078.6,557.56,8598.42,-2267.66,78.45,1739.88,-2189.2,-449.32
1621,559.07,1321.73,1720.11,152.94,87.11,-61.98,-1109.71,-10204.06,572.87,8686.84,-2228.64,79.07,1724.94,-2149.56,-424.62
1631,532.62,1331.76,1740.28,157.12,74.81,-63.18,-1126.69,-10096.58,560.57,8626.5,-2272.38,79.42,1737.23,-2192.96,-455.73
1641,545.02,1316.06,1720.99,151.84,86.62,-65.21,-1128.67,-10058.86,556.74,8587.11,-2265.96,76.92,1711.64,-2189.04,-477.4
1651,522.13,1394.57,1717.23,155.15,87.89,-71.33,-1129.76,-10112.73,558.46,8633.86,-2234.65,76.89,1755.46,-2157.77,-402.31
1661,526.79,1326.44,1731.22,150.87,90.98,-62.72,-1132.6,-10142.1,550.2,8647.2,-2241.31,79.09,1686.28,-2162.22,-475.95
1671,542.97,1317.74,1727.58,151.66,87.7,-65.01,-1110.23,-10185.7,546.03,8656.53,-2230.08,78.26,1669.25,-2151.83,-482.57
1681,565.34,1339.2,1724.18,162.35,87.01,-63.89,-1159.59,-10233.7,548.74,8725.93,-2193.98,75.89,1695.57,-2118.09,-422.52
