GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2151,517.65,1190.93,1498.95,125.45,70.22,-67.06,-965.4,-8883.09,483.72,7810.06,-7258.87,74.42,1781.43,-7184.46,-5403.03
2161,462.57,1185.12,1518.15,140.53,82.2,-68.3,-948.73,-8957.03,498.67,7846.05,-7261.4,74.57,1759.23,-7186.84,-5427.6
2171,482.34,1235.85,1488.26,135.28,65.87,-69.88,-965.76,-8797.17,500.1,7754.02,-7324.32,75.04,1828.92,-7249.29,-5420.37
2181,489.6,1175.37,1511.65,129.74,79.79,-77.51,-952.16,-9065.7,514.13,7809.96,-7133.87,75.15,1614.87,-7058.72,-5443.85
2191,513.15,1208.49,1498.58,134.2,81.43,-72.2,-962.13,-8913.31,488.23,7795.81,-7263.67,74.31,1772.24,-7189.36,-5417.12
2201,493.73,1177.48,1501.27,135.73,84.53,-62.29,-940.0,-9179.57,521.79,7840.94,-7036.5,72.97,1573.61,-6963.53,-5389.93
2211,496.5,1189.87,1511.53,140.59,80.99,-69.22,-961.65,-9023.61,506.08,7784.35,-7163.35,74.37,1655.43,-7088.98,-5433.55
2221,508.76,1176.29,1521.94,134.46,68.42,-60.41,-950.06,-8982.76,513.87,7832.48,-7196.7,75.23,1762.99,-7121.47,-5358.48
2231,517.49,1176.9,1493.3,138.3,75.46,-55.21,-975.16,-9006.47,488.57,7828.98,-7167.57,75.46,1682.16,-7092.11,-5409.96
2241,472.24,1137.75,1507.09,131.7,68.09,-61.75,-965.16,-9069.11,492.97,7883.26,-7150.41,74.0,1597.1,-7076.41,-5479.32
2251,511.57,1224.97,1511.58,137.58,72.47,-68.37,-953.62,-9064.61,486.64,7809.31,-7116.83,74.65,1667.52,-7042.17,-5374.66
2261,482.91,1172.12,1514.65,133.11,76.04,-69.21,-966.34,-9049.28,508.7,7826.08,-7128.71,74.27,1628.78,-7054.45,-5425.66
2271,524.15,1201.61,1462.36,129.65,91.79,-54.69,-958.94,-9006.92,478.82,7826.82,-7176.47,74.76,1694.64,-7101.71,-5407.07
2281,470.11,1196.48,1485.42,141.73,80.27,-60.91,-962.7,-8981.81,519.24,7867.43,-7216.37,74.67,1755.26,-7141.7,-5386.44
2291,519.31,1173.04,1484.41,127.26,75.13,-54.82,-953.82,-8991.73,494.69,7773.86,-7168.45,75.04,1647.33,-7093.41,-5446.08
2301,540.33,1158.54,1480.3,134.29,79.3,-60.63,-973.28,-9045.18,483.71,7848.47,-7150.4,74.47,1645.85,-7075.92,-5430.07
2311,529.97,1170.55,1507.03,127.54,67.8,-79.64,-946.94,-9081.55,502.74,7833.86,-7111.08,75.83,1631.36,-7035.25,-5403.89
2321,507.48,1195.89,1510.16,137.77,87.72,-67.07,-961.69,-8999.41,484.68,7813.99,-7175.56,75.54,1709.52,-7100.02,-5390.5
2331,543.32,1172.66,1476.51,132.97,67.07,-59.99,-974.43,-9015.84,484.3,7801.37,-7147.0,75.05,1627.94,-7071.95,-5444.01
2341,466.05,1197.45,1490.0,128.59,82.51,-64.57,-979.41,-9003.59,486.8,7815.74,-7134.88,74.98,1619.56,-7059.9,-5440.34
2351,485.57,1166.21,1500.69,133.6,74.6,-73.11,-970.11,-9156.63,499.01,7900.1,-7076.22,73.88,1559.95,-7002.34,-5442.39
2361,495.9,1121.82,1505.42,139.18,77.99,-71.15,-932.74,-9105.8,512.25,7854.59,-7117.46,76.49,1597.46,-7040.97,-5443.51
2371,525.11,1161.15,1500.63,140.2,69.28,-48.37,-963.1,-9122.27,487.99,7882.18,-7104.15,73.8,1632.8,-7030.35,-5397.55
2381,522.49,1196.02,1473.66,135.89,81.13,-60.45,-978.29,-9081.14,488.54,7836.21,-7108.5,73.15,1614.06,-7035.35,-5421.3
2391,490.99,1156.4,1499.24,131.16,71.85,-50.07,-994.92,-9062.77,483.11,7900.54,-7155.67,74.34,1625.53,-7081.33,-5455.8
2401,505.13,1204.46,1489.15,133.27,82.72,-71.77,-955.67,-9052.09,491.61,7894.01,-7192.76,74.62,1720.81,-7118.14,-5397.32
2411,503.65,1148.83,1471.81,124.67,70.11,-60.21,-967.67,-9194.47,495.2,7891.87,-7050.26,73.59,1483.79,-6976.67,-5492.88
2421,538.8,1198.18,1475.09,138.84,77.76,-56.23,-966.1,-9199.16,488.94,7860.79,-7021.33,74.91,1556.92,-6946.43,-5389.51
2431,499.97,1157.46,1493.13,130.92,79.07,-50.91,-954.28,-9159.39,510.73,7844.96,-7042.47,74.37,1551.68,-6968.1,-5416.42
