GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
731,589.94,1339.99,1748.22,151.17,93.43,-62.11,-1132.24,-10012.25,548.59,8641.47,-2372.85,79.08,1906.22,-2293.78,-387.56
741,573.51,1335.43,1717.66,151.48,75.01,-65.54,-1117.94,-9983.82,547.82,8619.86,-2389.14,78.97,1853.46,-2310.18,-456.72
751,569.31,1316.47,1748.34,152.65,86.17,-54.02,-1116.79,-10100.72,563.14,8733.88,-2358.6,79.24,1898.43,-2279.37,-380.94
761,548.89,1316.23,1741.47,154.59,85.73,-65.38,-1114.93,-10041.0,548.79,8683.87,-2392.33,78.65,1858.27,-2313.69,-455.42
771,550.04,1346.53,1724.22,157.64,84.95,-59.9,-1110.97,-10087.97,557.54,8664.11,-2327.7,78.7,1826.18,-2249.0,-422.83
781,549.51,1327.78,1724.83,147.26,79.95,-69.62,-1127.24,-10005.87,553.24,8682.03,-2406.68,80.05,1861.87,-2326.64,-464.77
791,572.88,1312.99,1727.28,155.01,87.5,-44.74,-1106.64,-10028.54,541.92,8655.16,-2369.61,79.42,1872.83,-2290.19,-417.36
801,571.83,1329.05,1741.89,155.98,81.26,-75.62,-1121.05,-10054.75,544.97,8653.02,-2337.34,79.13,1826.57,-2258.21,-431.64
811,583.55,1338.49,1727.52,157.22,84.92,-56.59,-1115.08,-10012.94,543.31,8633.16,-2368.07,78.76,1883.56,-2289.31,-405.75
821,540.27,1337.96,1750.5,148.95,78.53,-53.33,-1126.52,-10083.13,560.39,8683.98,-2312.03,78.75,1837.59,-2233.29,-395.7
831,544.99,1337.5,1731.52,156.52,79.34,-61.76,-1111.46,-10046.64,554.53,8672.8,-2351.67,79.9,1857.33,-2271.77,-414.44
841,555.27,1347.34,1743.85,155.95,91.48,-70.15,-1131.4,-10049.2,545.33,8617.35,-2346.95,79.34,1805.82,-2267.61,-461.79
851,552.37,1305.75,1722.24,153.23,92.64,-60.34,-1115.51,-10110.14,571.08,8710.28,-2336.83,79.58,1821.6,-2257.25,-435.65
861,528.88,1345.72,1744.98,152.71,82.12,-51.23,-1123.8,-10045.22,554.31,8661.75,-2364.08,79.73,1850.24,-2284.35,-434.11
871,561.5,1377.4,1728.85,151.63,88.49,-47.4,-1132.31,-9978.54,564.71,8594.24,-2359.51,78.64,1908.57,-2280.87,-372.3
881,541.55,1278.45,1742.26,152.73,89.12,-56.33,-1083.33,-10058.98,563.33,8648.41,-2338.4,78.18,1817.21,-2260.23,-443.02
891,573.71,1352.91,1719.43,157.65,85.44,-60.93,-1139.7,-10036.66,555.33,8646.18,-2344.25,79.02,1853.36,-2265.23,-411.87
901,584.93,1360.43,1744.82,157.05,87.94,-64.96,-1103.49,-10055.79,548.33,8638.18,-2358.16,79.73,1897.44,-2278.43,-380.99
911,559.8,1330.08,1742.89,153.99,77.77,-64.16,-1135.94,-10142.38,547.57,8653.03,-2270.63,78.08,1722.64,-2192.55,-469.91
921,552.63,1285.89,1723.03,142.1,82.5,-65.96,-1106.8,-10164.24,573.09,8707.02,-2294.5,79.64,1729.26,-2214.87,-485.61
931,577.61,1290.02,1733.63,149.82,93.98,-53.86,-1122.07,-10119.69,567.44,8708.03,-2302.47,77.65,1824.93,-2224.82,-399.9
941,536.36,1289.88,1769.09,154.5,87.29,-70.16,-1118.57,-10127.25,555.38,8729.37,-2324.56,78.89,1805.89,-2245.67,-439.78
951,588.63,1363.81,1744.96,150.2,87.78,-86.7,-1143.19,-10052.75,545.2,8619.9,-2301.41,77.52,1817.84,-2223.89,-406.05
961,517.53,1299.45,1729.82,147.01,93.85,-67.07,-1146.7,-10026.47,569.32,8660.37,-2349.94,78.43,1777.1,-2271.51,-494.41
971,560.4,1328.91,1735.11,154.06,91.61,-67.18,-1135.54,-10054.57,548.51,8657.85,-2337.99,78.38,1819.13,-2259.61,-440.48
981,556.38,1324.87,1732.77,144.3,89.19,-71.74,-1136.7,-10092.33,553.62,8675.44,-2318.43,78.19,1775.82,-2240.24,-464.43
991,542.69,1326.15,1756.54,150.03,85.46,-69.73,-1127.54,-10136.36,580.35,8690.8,-2291.11,79.27,1798.4,-2211.84,-413.44
1001,591.21,1342.02,1760.6,157.05,85.54,-66.29,-1098.84,-10067.73,545.93,8628.72,-2328.37,79.19,1878.22,-2249.18,-370.96
1011,563.88,1320.11,1745.26,144.45,94.69,-57.45,-1122.94,-10029.34,562.82,8664.21,-2372.72,79.14,1885.69,-2293.58,-407.89
